,neighborhood,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,maid_room,concierge,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,shared_pool,cluster
1781,Al Furjan,770000,906,849.89,2,2,False,False,False,False,False,False,False,False,2
1782,Dubai Healthcare City,558000,325,1716.92,1,1,False,True,True,False,False,False,False,True,2
1783,Remraam,260000,401,648.38,0,1,False,False,False,False,False,False,False,True,2
1784,Downtown Dubai,5796888,1861,3114.93,3,4,False,False,False,False,False,False,False,True,0
1785,Jebel Ali,420000,430,976.74,0,1,False,False,False,False,False,False,False,True,2
1786,Meydan,940000,758,1240.11,1,2,False,False,False,False,False,False,False,True,2
1787,Downtown Dubai,1800000,1232,1461.04,2,2,False,False,True,False,False,False,False,True,1
1788,Umm Suqeim,2512000,1504,1670.21,2,2,False,False,False,False,False,False,False,True,1
1789,Downtown Dubai,4943888,1214,4072.4,2,2,False,True,False,False,False,False,False,False,0
1790,Downtown Dubai,5876888,1557,3774.49,3,3,False,True,False,False,False,False,False,False,0
1791,Business Bay,995000,696,1429.6,1,1,False,False,False,False,False,True,False,True,2
1792,Dubai Marina,1045000,1185,881.86,1,2,False,False,False,False,False,False,False,True,2
1793,Business Bay,1600000,1751,913.76,2,3,True,False,False,False,False,False,False,True,1
1794,Dubai Marina,2500000,2992,835.56,3,5,False,False,False,False,False,False,False,False,0
1795,Jumeirah Village Circle,360000,432,833.33,0,1,False,True,False,False,False,False,False,True,2
1796,Jumeirah Beach Residence,1540000,763,2018.35,1,2,False,False,False,False,False,False,False,True,2
1797,Jumeirah Village Circle,1350000,1358,994.11,2,2,True,True,False,False,False,False,False,True,1
1798,Jumeirah Village Circle,1350000,1357,994.84,2,2,True,True,False,False,False,False,False,True,1
1799,Jumeirah Lake Towers,899999,1328,677.71,2,3,False,False,False,False,False,False,False,True,1
1800,Jumeirah Village Circle,1350000,1354,997.05,2,2,True,True,False,False,False,False,False,True,1
1801,Jumeirah Beach Residence,3800000,1897,2003.16,3,2,False,False,False,False,False,False,False,True,0
1802,Jumeirah Village Circle,1350205,1342,1006.11,2,2,True,True,False,False,False,False,False,True,1
1803,Downtown Dubai,2000000,1133,1765.23,1,2,False,False,False,False,False,False,True,True,2
1804,Dubai Marina,3300000,3456,954.86,3,5,False,False,False,False,False,False,False,False,0
1805,The Hills,1650000,1558,1059.05,2,2,False,True,True,False,False,False,False,True,1
1806,Jumeirah Village Circle,661504,675,980.01,1,2,False,True,False,False,False,False,False,True,2
1807,Jumeirah Village Circle,958205,1311,730.9,2,3,True,True,False,False,False,False,False,True,1
1808,Jumeirah Lake Towers,840000,1152,729.17,2,2,False,False,False,False,False,False,False,False,1
1809,Greens,1600000,1797,890.37,3,3,False,False,False,False,False,False,False,True,1
1810,Dubai Marina,1650000,1303,1266.31,2,3,False,True,True,False,False,False,False,True,1
1811,Jumeirah Village Circle,619500,851,727.97,1,2,True,True,False,False,False,False,False,True,2
1812,Jumeirah Village Circle,750204,1045,717.9,2,3,True,True,False,False,False,False,False,True,1
1813,DIFC,2400000,1782,1346.8,2,3,False,False,False,False,False,False,False,False,1
1814,Jumeirah Village Circle,900000,967,930.71,1,2,False,False,False,False,False,False,False,True,2
1815,Jumeirah Village Circle,365000,419,871.12,0,1,False,False,True,False,False,False,False,True,2
1816,Jumeirah Village Circle,650503,751,866.18,1,2,False,True,True,False,False,False,False,True,2
1817,Jumeirah Village Circle,999505,1198,834.31,2,3,True,True,True,False,False,False,False,True,1
1818,Jumeirah,2250000,1341,1677.85,2,3,False,True,False,False,False,False,False,True,1
1819,DIFC,1550000,960,1614.58,1,2,False,False,True,False,False,False,False,True,2
1820,Jumeirah Village Circle,610502,812,751.85,1,2,True,True,True,False,False,False,False,True,2
1821,Dubai Marina,580000,484,1198.35,1,1,False,False,True,False,False,False,False,True,2
1822,Jumeirah Beach Residence,3400000,2918,1165.18,4,4,False,False,False,False,False,False,False,False,0
1823,Umm Suqeim,2192000,1351,1622.5,2,2,False,True,False,False,False,False,True,True,1
1824,Umm Suqeim,2448000,1702,1438.31,2,2,True,True,False,False,False,False,True,True,1
1825,Umm Suqeim,2112000,1359,1554.08,2,2,True,True,False,False,False,False,True,True,1
1826,Jumeirah Village Circle,699505,840,832.74,1,2,False,True,True,False,False,False,False,True,2
1827,Umm Suqeim,2121000,1378,1539.19,2,2,True,True,False,False,False,False,True,True,1
1828,Jumeirah Village Circle,370000,372,994.62,0,1,False,True,True,False,False,False,False,True,2
1829,Business Bay,1525000,1300,1173.08,2,3,False,False,False,False,False,False,False,True,1
1830,Dubai Marina,950000,841,1129.61,1,1,False,True,True,False,False,False,False,True,2
1831,Dubai Harbour,2245888,1143,1964.91,2,2,False,False,False,False,False,False,False,True,1
1832,Dubai Marina,1550000,1323,1171.58,2,2,False,True,True,False,False,False,False,True,1
1833,The Views,1212000,1302,930.88,2,3,False,False,False,False,False,False,False,True,1
1834,Dubai Marina,1550000,1233,1257.1,2,2,False,True,False,False,False,False,False,False,1
1835,Dubai Marina,1100000,884,1244.34,1,2,False,True,False,False,False,False,False,True,2
1836,Al Barari,2800000,2745,1020.04,2,3,False,False,False,False,False,False,False,True,1
1837,Jumeirah Lake Towers,400888,415,966.0,0,1,False,True,False,False,False,False,False,True,2
1838,Jumeirah Lake Towers,400888,415,966.0,0,1,False,True,False,False,False,False,False,True,2
1839,Umm Suqeim,2100000,1300,1615.38,2,2,False,True,False,False,False,False,False,True,1
1840,Jumeirah Beach Residence,1500000,1058,1417.77,1,2,False,True,True,False,False,False,False,True,2
1841,Dubai Marina,1250000,1377,907.77,2,2,False,False,False,False,False,False,False,False,1
1842,The Views,1750000,1642,1065.77,2,3,False,True,False,False,False,False,False,True,1
1843,Dubai Creek Harbour (The Lagoons),1100000,899,1223.58,1,1,False,False,False,False,False,False,False,True,2
1844,Jumeirah Village Circle,443850,422,1051.78,0,1,False,False,False,False,False,False,False,True,2
1845,Downtown Dubai,3200000,1709,1872.44,3,4,False,True,False,False,False,False,False,True,0
1846,Business Bay,2950000,3039,970.71,3,4,True,False,True,False,False,False,False,True,0
1847,Dubai Residence Complex,270000,460,586.96,0,1,False,False,False,False,False,False,False,True,2
1848,Jumeirah Lake Towers,499000,672,742.56,1,1,False,False,True,False,False,False,False,True,2
1849,Umm Suqeim,2112000,1359,1554.08,2,3,False,True,True,False,False,False,False,True,1
1850,Downtown Dubai,4000000,2023,1977.26,3,3,True,True,False,False,False,False,False,True,0
1851,Dubai Marina,700000,591,1184.43,1,1,False,True,False,False,False,False,False,False,2
1852,Business Bay,920000,778,1182.52,1,2,False,False,True,False,False,False,False,True,2
1853,Palm Jumeirah,1650000,1890,873.02,1,2,False,False,False,False,False,False,False,True,1
1854,Greens,1599990,2059,777.07,3,3,False,True,False,False,False,False,False,True,1
1855,Dubai Marina,1500000,2412,621.89,3,4,True,False,True,False,False,False,False,True,1
1856,Jumeirah Lake Towers,400888,403,994.76,0,1,False,True,False,False,False,True,False,True,2
1857,Jumeirah Lake Towers,760888,904,841.69,1,2,False,True,False,False,False,True,True,True,2
1858,Jumeirah Lake Towers,1005888,1073,937.45,2,2,False,True,False,False,False,True,False,False,1
1859,Jumeirah Lake Towers,1550888,1517,1022.34,3,3,False,True,False,False,False,False,False,True,1
1860,Dubai Land,590000,1094,539.31,2,2,False,False,False,False,False,False,False,True,1
1861,Dubai Marina,1750000,1324,1321.75,2,2,False,False,False,False,False,False,False,False,1
1862,Dubai Marina,2600000,2205,1179.14,3,4,False,False,False,False,False,False,False,False,0
1863,Jumeirah Beach Residence,2400000,1842,1302.93,2,2,False,False,False,False,False,False,False,False,1
1864,DIFC,795000,769,1033.81,1,2,False,False,False,False,False,True,False,True,2
1865,Dubai Marina,1975000,2979,662.97,3,3,False,False,False,False,False,False,False,False,1
1866,Al Furjan,838000,928,903.02,2,3,False,False,False,False,False,False,False,True,1
1867,DIFC,2300000,1836,1252.72,2,3,False,False,False,False,False,False,False,False,1
1868,Palm Jumeirah,34340000,8722,3937.17,4,6,True,True,True,True,False,True,True,True,0
1869,Mohammed Bin Rashid City,1781920,1184,1505.0,2,3,False,False,False,False,False,False,False,False,1
1870,Dubai Harbour,1352888,745,1815.96,1,1,False,False,True,False,False,False,True,True,2
1871,Mohammed Bin Rashid City,2800000,2012,1391.65,3,3,True,False,True,False,False,False,False,False,0
1872,Palm Jumeirah,15950000,5049,3159.04,4,6,True,True,True,False,False,False,True,False,0
1873,Town Square,488888,698,700.41,1,2,False,False,False,False,False,False,False,True,2
1874,Dubai Harbour,1459888,758,1925.97,1,1,False,False,False,False,False,False,False,True,2
1875,Dubai Marina,1350000,1579,854.97,2,4,False,False,False,False,False,False,False,False,1
1876,Jumeirah Beach Residence,1499000,1884,795.65,3,3,False,False,False,False,False,False,False,False,1
1877,Downtown Dubai,2130888,791,2693.92,1,2,False,True,False,False,False,False,False,True,2
1878,Dubai Creek Harbour (The Lagoons),890000,760,1171.05,1,1,False,True,True,False,False,False,False,True,2
1879,Jumeirah Lake Towers,2400000,2798,857.76,3,5,True,True,True,False,False,False,False,True,0
1880,The Views,1850000,1400,1321.43,2,2,False,True,True,False,False,False,False,True,1
1881,Dubai Marina,2090000,1061,1969.84,2,2,False,False,False,False,False,False,False,True,1
1882,Jumeirah Beach Residence,1970000,882,2233.56,1,2,False,True,False,False,False,False,False,True,2
1883,Jumeirah Beach Residence,3300000,1180,2796.61,2,3,False,True,False,False,False,False,False,True,0
1884,Palm Jumeirah,31440000,6542,4805.87,4,6,True,True,True,False,False,True,True,True,0
1885,Dubai Harbour,4856888,2088,2326.1,3,3,True,False,True,False,False,False,True,True,0
1886,City Walk,1396000,1672,834.93,1,2,False,False,False,False,False,False,False,False,1
1887,Dubai Marina,1300000,1843,705.37,3,3,True,False,False,False,False,False,False,True,1
1888,Palm Jumeirah,1400000,1173,1193.52,1,1,False,False,False,False,False,False,False,False,2
1889,Jumeirah Beach Residence,3800000,1807,2102.93,3,3,False,True,False,False,False,False,False,True,0
1890,Culture Village,7000000,4068,1720.75,4,6,False,False,False,False,False,False,False,False,0
1891,Dubai South (Dubai World Central),1175000,3247,361.87,3,2,False,False,False,True,False,False,False,True,1
1892,Jumeirah Beach Residence,2000000,857,2333.72,1,2,False,False,True,False,False,False,False,True,2
1893,Downtown Dubai,980888,1088,901.55,1,1,False,True,False,False,False,False,False,True,2
1894,Dubai Marina,1350000,1578,855.51,2,4,False,False,False,False,False,False,False,False,1
1895,Downtown Dubai,18040888,5253,3434.4,4,4,True,False,False,False,False,False,False,True,0
1896,Al Quoz,360000,600,600.0,0,1,False,False,True,False,False,False,False,True,2
1897,Palm Jumeirah,2700000,1076,2509.29,1,2,False,False,False,False,False,False,False,True,2
1898,Dubai Sports City,550000,847,649.35,1,2,False,True,True,False,False,False,True,True,2
1899,Mohammed Bin Rashid City,1500000,1087,1379.94,2,2,False,True,True,False,False,False,False,True,1
1900,Mohammed Bin Rashid City,1230000,760,1618.42,1,2,False,True,False,False,False,False,False,True,2
1901,Dubai Creek Harbour (The Lagoons),2900000,1930,1502.59,3,5,True,False,True,False,False,False,False,True,0
1902,Jumeirah Village Circle,675000,740,912.16,1,2,False,False,False,True,False,False,False,True,2
1903,Jumeirah Lake Towers,760887,800,951.11,1,2,False,True,False,False,False,False,False,True,2
