,neighborhood,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,maid_room,concierge,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,shared_pool,cluster
1601,Dubai Harbour,2142888,1133,1891.34,2,3,False,True,True,False,False,False,False,True,1
1602,Dubai Harbour,1715000,789,2173.64,1,2,False,True,True,False,False,False,False,True,2
1603,Dubai Harbour,2551888,1252,2038.25,2,2,False,True,True,False,False,False,False,True,1
1604,Jumeirah Beach Residence,3800000,2150,1767.44,2,2,False,False,False,False,False,False,False,True,0
1605,Dubai Creek Harbour (The Lagoons),1050000,760,1381.58,1,2,False,True,True,False,False,False,True,True,2
1606,Palm Jumeirah,2300943,1095,2101.32,2,3,False,False,False,False,False,False,False,True,1
1607,Downtown Dubai,1265000,1241,1019.34,2,3,False,False,False,False,False,False,False,True,1
1608,Dubai Production City (IMPZ),230000,362,635.36,0,1,False,False,True,False,False,False,False,True,2
1609,Dubai Production City (IMPZ),230000,380,605.26,0,1,False,False,True,False,False,False,False,True,2
1610,Discovery Gardens,300000,493,608.52,0,1,False,False,True,False,False,False,False,True,2
1611,Dubai Healthcare City,500000,474,1054.85,0,1,False,True,False,False,False,False,False,True,2
1612,Downtown Dubai,17888888,5253,3405.46,4,4,False,True,False,False,False,False,False,True,0
1613,Dubai Marina,1350000,1330,1015.04,2,3,False,False,True,False,False,False,True,True,1
1614,Dubai Marina,3125000,1814,1722.71,3,4,True,False,False,False,False,False,False,True,0
1615,The Views,1340000,1347,994.8,2,2,False,True,False,False,False,False,False,True,1
1616,Downtown Dubai,810000,727,1114.17,1,1,False,False,True,False,False,False,False,True,2
1617,Dubai Marina,1000000,660,1515.15,1,2,False,False,False,False,False,False,False,True,2
1618,Dubai Marina,930000,723,1286.31,1,2,False,False,True,False,False,False,False,True,2
1619,Dubai Marina,1800000,1328,1355.42,2,3,False,False,True,False,False,False,False,True,1
1620,Al Furjan,850000,1398,608.01,2,2,False,False,True,False,False,False,False,True,1
1621,Dubai Sports City,550000,1322,416.04,2,3,False,False,True,False,False,False,False,True,1
1622,Downtown Dubai,1600000,742,2156.33,1,1,False,False,False,False,False,False,False,True,2
1623,Business Bay,600000,485,1237.11,0,1,False,False,False,True,False,False,False,True,2
1624,Al Furjan,675000,877,769.67,1,1,False,False,False,False,False,False,False,False,2
1625,Business Bay,1170000,914,1280.09,1,1,False,True,True,False,False,False,False,True,2
1626,Business Bay,2000000,2043,978.95,3,3,False,True,True,False,False,False,False,True,1
1627,Business Bay,1698000,1512,1123.02,2,3,True,False,True,False,False,False,True,True,1
1628,Dubai Harbour,4335888,1700,2550.52,3,3,False,False,False,False,False,False,False,True,0
1629,Dubai Creek Harbour (The Lagoons),3029888,1662,1823.04,3,3,False,False,False,False,False,False,False,True,0
1630,Downtown Dubai,2166888,1087,1993.46,2,2,False,False,False,False,False,False,False,True,1
1631,Downtown Dubai,4507888,1604,2810.4,3,3,False,False,False,False,False,False,False,True,0
1632,DAMAC Hills,718000,769,933.68,1,2,False,False,False,False,False,False,False,True,2
1633,DAMAC Hills,718000,769,933.68,1,2,False,False,False,False,False,False,False,True,2
1634,DAMAC Hills,546000,509,1072.69,0,1,False,False,False,False,False,False,False,True,2
1635,DAMAC Hills,718000,769,933.68,1,2,False,False,False,False,False,False,False,True,2
1636,DAMAC Hills,546000,509,1072.69,0,1,False,False,False,False,False,False,False,True,2
1637,Business Bay,1870000,1237,1511.72,2,2,False,False,False,False,False,True,False,True,1
1638,DAMAC Hills,1442977,1302,1108.28,1,1,False,False,True,False,False,False,False,False,2
1639,DAMAC Hills,1645000,1619,1016.06,2,2,False,False,True,False,False,False,False,False,1
1640,Dubai Marina,3690888,1747,2112.7,3,3,False,False,False,False,False,False,False,True,0
1641,Business Bay,709000,469,1511.73,1,1,False,False,True,False,False,False,False,False,2
1642,Business Bay,710000,465,1526.88,1,1,False,False,True,False,False,False,False,False,2
1643,Business Bay,713000,470,1517.02,1,1,False,False,True,False,False,False,False,False,2
1644,Business Bay,786000,466,1686.7,1,1,False,True,False,False,False,False,False,True,2
1645,Business Bay,794000,471,1685.77,1,1,False,True,False,False,False,False,False,True,2
1646,Business Bay,1288000,913,1410.73,2,2,False,True,False,False,False,False,False,True,2
1647,Business Bay,690000,428,1612.15,0,1,False,False,False,False,False,True,False,True,2
1648,Business Bay,999000,696,1435.34,1,1,False,False,False,False,False,True,False,True,2
