,neighborhood,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,maid_room,concierge,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,shared_pool
78,Downtown Dubai,930000,774,1201.55,1,2,False,False,False,False,False,False,False,False
79,Palm Jumeirah,3200000,1572,2035.62,2,3,False,False,False,False,False,False,False,True
80,Jumeirah Village Circle,714000,732,975.41,1,1,False,False,True,True,False,False,False,True
81,Dubai Marina,1075000,1300,826.92,3,3,False,False,False,False,False,False,False,True
82,Downtown Dubai,2299900,1133,2029.92,1,2,False,True,False,False,False,True,False,True
83,Dubai Marina,1200000,1180,1016.95,2,2,False,True,False,False,False,False,False,True
84,Dubai Marina,1525000,1440,1059.03,2,3,False,False,False,False,False,False,False,False
85,City Walk,2700000,1685,1602.37,2,2,False,False,False,False,False,False,False,True
86,Jumeirah Beach Residence,815000,779,1046.21,1,1,False,False,False,False,False,False,False,False
87,Jumeirah Lake Towers,860000,971,885.68,1,2,False,False,False,False,False,False,False,True
88,Barsha Heights (Tecom),1200000,1450,827.59,2,1,False,False,True,False,False,False,False,True
89,Jumeirah Beach Residence,1300000,763,1703.8,1,1,False,False,False,False,False,False,False,False
90,Downtown Dubai,2100000,1135,1850.22,1,1,False,True,True,False,False,False,True,True
91,Downtown Dubai,2100000,1974,1063.83,3,5,False,False,False,False,False,False,False,False
92,Palm Jumeirah,2100000,1051,1998.1,1,1,False,True,False,False,False,False,False,True
93,Downtown Dubai,2100000,826,2542.37,1,2,False,False,False,False,False,False,False,False
94,Palm Jumeirah,3499000,1633,2142.68,2,2,False,True,False,False,False,False,False,True
95,Dubai Marina,5500000,2609,2108.09,4,5,False,False,False,False,False,False,False,True
96,Dubai Marina,2100000,1579,1329.96,2,3,False,False,False,False,False,False,False,False
97,DIFC,1845000,1526,1209.04,2,2,False,False,False,False,False,False,False,True
98,Al Barari,1800000,1964,916.5,1,2,False,True,False,False,False,False,False,True
99,Dubai Production City (IMPZ),600000,1256,477.71,2,3,False,False,False,False,False,False,False,True
100,Downtown Dubai,1155000,753,1533.86,1,2,False,False,False,False,False,False,False,True
101,The Hills,2095000,1436,1458.91,2,3,False,True,False,False,False,True,False,True
102,Downtown Dubai,1900000,1438,1321.28,2,3,False,False,True,False,False,True,False,True
103,Palm Jumeirah,1800000,1490,1208.05,1,2,False,False,False,False,False,False,False,True
104,Palm Jumeirah,1800000,1490,1208.05,1,2,False,False,False,False,False,False,False,True
105,Jumeirah Village Circle,890000,1400,635.71,1,2,False,False,False,False,False,False,False,False
106,Palm Jumeirah,3600000,1724,2088.17,2,3,False,False,False,False,False,False,False,True
107,Dubai Marina,1845000,1346,1370.73,2,2,False,True,False,False,False,False,False,True
108,DIFC,1850000,1623,1139.86,2,3,False,False,True,False,False,False,False,True
109,Palm Jumeirah,4995000,2990,1670.57,3,4,True,False,False,False,False,False,False,True
110,Palm Jumeirah,3000000,2201,1363.02,3,4,False,False,False,False,False,False,False,True
111,Business Bay,610000,458,1331.88,0,1,False,False,False,False,False,False,False,False
112,City Walk,2850000,1734,1643.6,2,4,False,False,False,False,False,False,False,True
113,City Walk,3315000,1950,1700.0,2,4,False,False,False,False,False,False,False,False
114,Downtown Dubai,1800000,1209,1488.83,2,3,False,False,True,False,False,False,False,True
115,Downtown Dubai,2100000,1354,1550.96,2,3,False,False,True,False,False,False,False,True
116,Downtown Dubai,1400000,860,1627.91,1,2,False,False,False,False,False,False,False,False
117,Old Town,2300000,1338,1718.98,2,3,False,False,False,False,False,False,False,False
118,Business Bay,2300000,1442,1595.01,2,3,False,False,False,False,False,False,False,True
119,The Views,1335000,1336,999.25,2,2,False,False,False,False,False,False,False,False
120,Downtown Dubai,2200000,1891,1163.41,3,4,False,True,False,False,False,False,False,False
121,Dubai Hills Estate,1100000,1087,1011.96,2,2,False,False,False,False,False,False,False,False
122,Dubai Hills Estate,700000,646,1083.59,1,1,False,False,False,False,False,False,False,False
123,Dubai Sports City,700000,883,792.75,2,2,False,False,False,False,False,False,False,True
124,City Walk,3680000,2574,1429.68,3,5,False,False,False,False,False,False,False,False
125,Downtown Dubai,10000000,3399,2942.04,4,5,True,True,False,True,True,True,True,False
126,Downtown Dubai,2200000,1447,1520.39,2,2,False,False,False,False,False,False,False,True
127,Old Town,1820000,1185,1535.86,1,2,True,False,False,False,False,False,False,True
128,Palm Jumeirah,655888,380,1726.02,0,1,False,True,False,False,False,False,False,True
129,Dubai Hills Estate,2300000,1953,1177.68,3,5,False,True,False,False,False,False,False,True
130,City Walk,3200000,1830,1748.63,2,4,False,False,False,False,False,False,False,False
131,Dubai Marina,2175000,1385,1570.4,2,3,False,False,True,False,False,False,False,False
132,Jumeirah Village Circle,700000,846,827.42,1,1,False,True,True,False,False,False,False,True
133,Dubai Marina,850000,759,1119.89,2,2,False,False,False,False,False,False,False,True
134,Dubai Hills Estate,1066888,718,1485.92,1,1,False,False,False,False,False,False,True,True
135,Palm Jumeirah,2500000,1356,1843.66,2,3,True,True,False,False,False,False,False,True
136,Jumeirah Village Circle,1502000,1460,1028.77,3,3,False,False,True,False,False,False,False,True
137,Dubai Silicon Oasis,860000,1800,477.78,2,3,False,False,True,False,False,True,False,True
138,Downtown Dubai,1000000,915,1092.9,1,1,False,False,False,False,False,False,False,False
139,Dubai Marina,850000,545,1559.63,0,2,False,True,False,False,False,True,False,True
140,Downtown Dubai,3400000,1566,2171.14,2,3,False,False,False,False,False,False,False,True
141,Downtown Dubai,5500000,2310,2380.95,3,4,True,False,False,False,False,False,False,False
142,Jumeirah Village Circle,813000,935,869.52,2,2,False,False,False,False,False,False,False,False
143,City Walk,3399000,2084,1631.0,3,4,False,False,False,False,False,False,False,True
144,Dubai Marina,1589950,1302,1221.16,2,3,False,False,True,False,False,False,False,True
145,Jumeirah Beach Residence,10560000,3638,2902.69,4,3,True,False,True,False,False,False,False,True
146,Dubai Sports City,390000,849,459.36,1,2,False,False,False,False,False,False,False,True
147,The Views,1650000,1458,1131.69,2,2,False,False,True,False,False,False,False,True
148,Jumeirah Beach Residence,1200000,1262,950.87,2,2,False,False,False,False,False,False,False,True
149,Palm Jumeirah,5400000,4526,1193.11,4,5,True,True,False,False,False,False,False,True
150,Jumeirah Beach Residence,14800000,5018,2949.38,5,5,True,True,False,False,True,False,False,True
151,Palm Jumeirah,1700000,1509,1126.57,1,1,False,False,False,False,False,False,False,False
152,Jumeirah Beach Residence,810000,779,1039.79,1,2,False,False,True,False,False,False,False,True
153,Downtown Dubai,2350000,1391,1689.43,2,3,False,False,False,False,False,False,False,False
154,Downtown Dubai,3000000,796,3768.84,1,2,False,False,False,False,False,False,False,True
155,Jumeirah Lake Towers,920000,1315,699.62,3,2,False,False,False,False,False,False,False,True
156,Palm Jumeirah,2000000,1040,1923.08,1,2,False,False,False,False,False,False,False,True
157,Palm Jumeirah,1325000,1144,1158.22,1,1,False,False,False,False,False,False,False,False
158,Downtown Dubai,2850000,1244,2291.0,2,2,False,True,False,False,False,False,False,True
159,Downtown Dubai,1650000,792,2083.33,1,2,False,True,False,False,False,False,False,True
160,Dubai Sports City,410000,969,423.12,1,2,False,True,False,False,False,False,False,True
161,Umm Suqeim,3700000,1860,1989.25,3,4,True,False,True,False,False,False,False,True
162,Jumeirah Village Circle,670000,726,922.87,1,2,False,False,False,False,False,False,False,False
163,Downtown Dubai,1100000,1182,930.63,1,2,False,True,False,False,False,False,False,True
164,Greens,620000,767,808.34,1,1,False,False,False,False,False,False,False,True
165,Business Bay,2000000,1414,1414.43,3,3,False,False,False,False,False,False,False,True
166,Jumeirah Village Circle,662000,634,1044.16,1,2,False,False,False,False,False,False,False,True
167,Downtown Dubai,1992888,858,2322.71,1,1,False,True,False,False,False,False,False,True
168,Jumeirah Lake Towers,525000,569,922.67,1,1,False,False,False,False,False,False,False,True
169,Dubai Marina,1990000,1556,1278.92,2,2,False,False,False,False,False,False,False,False
170,Jumeirah Lake Towers,767000,811,945.75,1,2,False,False,True,False,False,False,False,True
171,Dubai Hills Estate,1096888,650,1687.52,1,1,False,False,True,False,False,False,False,True
172,Dubai Hills Estate,749888,482,1555.78,1,1,False,False,False,False,False,False,True,True
173,Jumeirah Village Circle,900000,1439,625.43,2,3,False,False,True,False,False,False,False,True
174,Jumeirah Village Circle,575000,771,745.78,1,2,False,False,True,False,False,False,False,True
175,Palm Jumeirah,1650000,1974,835.87,2,4,True,False,True,False,False,False,False,False
176,Dubai Marina,1600000,977,1637.67,1,2,False,False,False,False,False,False,False,True
177,The Hills,1900000,1436,1323.12,2,3,False,True,False,False,False,True,False,True
178,Dubai Marina,1700000,1694,1003.54,2,3,False,False,True,False,False,False,False,True
179,Jumeirah Beach Residence,1150000,1289,892.16,2,2,False,False,False,False,False,False,False,False
180,Dubai Marina,1200000,1468,817.44,2,3,False,True,True,False,False,False,False,True
181,Business Bay,1400000,864,1620.37,1,2,False,True,True,False,False,False,False,True
182,Jumeirah Lake Towers,875000,1327,659.38,2,3,True,False,False,False,False,False,False,True
183,Jumeirah Lake Towers,640000,897,713.49,1,2,False,False,True,False,False,False,False,True
184,Dubai Marina,1150000,1684,682.9,2,2,False,False,False,False,False,True,False,True
185,Downtown Dubai,1275000,812,1570.2,1,1,False,True,False,False,False,False,False,True
186,Downtown Dubai,3000000,1150,2608.7,2,2,False,False,True,False,False,False,False,False
187,Downtown Dubai,2500000,1900,1315.79,3,4,True,True,False,False,False,False,False,True
188,Downtown Dubai,1450000,1020,1421.57,1,1,False,True,False,False,False,False,False,True
189,Downtown Dubai,949000,916,1036.03,1,1,False,False,True,False,False,False,False,True
190,Downtown Dubai,880000,847,1038.96,1,2,False,False,False,False,False,False,False,False
191,DIFC,1850000,1634,1132.19,2,3,False,False,False,False,False,False,False,False
192,Jumeirah Beach Residence,2700000,3000,900.0,4,5,True,False,False,False,False,False,False,True
193,Palm Jumeirah,2950000,2248,1312.28,3,2,False,False,False,False,False,False,False,False
194,Jumeirah Village Triangle,310000,425,729.41,0,1,False,False,False,False,False,False,False,False
195,Palm Jumeirah,3600000,2279,1579.64,3,4,False,False,False,False,False,False,True,True
196,Downtown Dubai,3999900,2008,1991.98,3,4,False,False,False,False,False,True,False,True
197,Jumeirah Village Circle,410000,738,555.56,1,1,False,False,False,False,False,False,False,True
198,Mohammed Bin Rashid City,2100000,1457,1441.32,2,3,True,False,False,False,False,False,False,True
199,Dubai Harbour,1464888,867,1689.61,1,1,False,False,False,False,False,False,False,True
200,Dubai Marina,1199999,1072,1119.4,1,2,False,False,False,False,False,False,False,True
201,Bluewaters,3150000,1448,2175.41,2,3,False,False,True,False,False,False,False,True
202,Dubai Marina,1150000,768,1497.4,1,1,False,True,False,False,False,False,False,True
203,Business Bay,925000,1395,663.08,1,2,False,False,False,False,False,False,False,True
204,Downtown Dubai,4500000,1751,2569.96,2,3,False,False,False,False,False,False,False,True
205,Dubai Marina,800000,1219,656.28,2,3,False,False,True,False,False,False,False,True
206,Jumeirah Village Circle,625000,1007,620.66,2,2,False,True,False,False,False,False,True,True
207,Downtown Dubai,2650000,1365,1941.39,2,2,False,False,False,False,False,False,False,True
208,DIFC,2400000,2030,1182.27,2,3,False,False,True,False,False,False,False,True
209,DIFC,2050000,1724,1189.1,2,3,False,True,True,False,False,False,False,True
210,DIFC,5800000,3330,1741.74,3,4,True,True,True,False,False,False,False,True
211,Dubai Marina,1450000,1970,736.04,3,4,False,False,True,False,False,False,False,True
212,Meydan,758500,590,1285.59,1,1,False,True,False,False,False,False,False,True
213,Al Furjan,1051938,1191,883.24,2,3,False,False,True,False,False,False,False,True
214,Business Bay,7500000,7344,1021.24,3,5,True,False,True,False,False,False,False,False
215,Jumeirah Village Circle,600000,670,895.52,1,2,False,False,False,False,False,False,False,False
216,Jumeirah,14000000,3168,4419.19,3,5,False,False,False,False,False,False,False,False
217,The Views,1699999,1642,1035.32,2,2,False,True,True,False,False,True,False,True
218,International City,305000,743,410.5,1,2,False,False,False,False,False,False,False,False
219,Dubai Hills Estate,1300000,1356,958.7,2,3,False,False,False,False,False,False,False,False
220,Old Town,1250000,954,1310.27,1,1,False,False,False,False,False,False,False,True
221,Dubai Marina,1250000,1348,927.3,2,3,False,False,False,False,False,False,False,False
222,Palm Jumeirah,2350000,2524,931.06,3,4,False,False,False,False,False,False,False,False
223,Dubai Marina,1400000,822,1703.16,1,2,False,True,True,False,False,False,False,True
224,Dubai Marina,2750000,1674,1642.77,3,4,False,True,False,False,False,False,False,True
225,Arjan,683001,561,1217.47,1,1,False,True,False,False,False,True,False,True
226,Jumeirah Beach Residence,1690000,1877,900.37,3,4,False,False,False,False,False,False,False,True
227,Downtown Dubai,1450000,1390,1043.17,2,2,False,False,False,False,False,False,False,True
228,Palm Jumeirah,2606000,1303,2000.0,2,3,True,False,False,False,False,False,False,True
229,The Views,1375000,1349,1019.27,2,2,False,False,False,False,False,False,False,False
230,Palm Jumeirah,2600000,1475,1762.71,2,3,False,False,False,False,False,False,False,True
231,Palm Jumeirah,7649000,2942,2599.93,3,4,True,True,False,False,False,False,False,True
232,Jumeirah Village Circle,480000,829,579.01,1,2,False,False,True,False,False,False,False,False
233,Dubai Marina,2400000,1508,1591.51,2,3,False,False,False,False,False,False,False,False
234,Dubai Marina,800000,522,1532.57,0,1,False,False,False,False,False,False,False,True
235,Downtown Dubai,10820000,2840,3809.86,4,5,False,True,False,False,False,False,False,True
236,Motor City,629000,1051,598.48,1,1,False,False,False,False,False,False,False,True
237,Dubai Sports City,430000,793,542.24,1,2,False,False,True,False,False,False,False,False
238,Jumeirah Village Circle,410000,796,515.08,1,2,False,False,True,False,False,True,False,True
239,The Views,1690000,1305,1295.02,2,2,False,False,False,False,False,False,False,False
240,Jumeirah Lake Towers,400888,415,966.0,0,1,False,False,False,False,False,False,False,True
241,Downtown Dubai,2100000,1312,1600.61,2,2,False,False,False,False,False,False,False,False
242,DAMAC Hills,650000,825,787.88,1,2,False,False,False,False,False,False,False,True
243,Dubai Marina,1290000,2173,593.65,3,3,True,False,True,False,False,False,False,True
244,Dubai Sports City,420000,768,546.88,1,1,False,False,False,False,False,False,False,True
245,Dubai Marina,1950000,1410,1382.98,2,3,False,False,False,False,False,False,False,False
246,Downtown Dubai,1600000,1450,1103.45,2,3,False,True,True,False,False,False,False,True
247,Dubai Marina,685000,844,811.61,1,1,False,False,True,False,False,False,False,True
248,Downtown Dubai,1399900,767,1825.16,1,2,False,True,False,False,False,False,False,True
249,Downtown Dubai,3400000,1703,1996.48,3,4,False,False,False,False,False,False,False,True
250,Downtown Dubai,1389900,900,1544.33,1,2,False,False,False,False,False,False,False,True
251,Dubai Marina,850000,708,1200.56,1,2,False,False,False,False,False,False,False,False
252,Dubai Marina,1425000,950,1500.0,1,2,False,False,False,False,False,False,False,True
253,Jumeirah Village Triangle,462888,402,1151.46,1,2,False,False,False,False,False,False,False,False
254,Mohammed Bin Rashid City,825828,539,1532.15,0,1,False,True,True,False,False,False,False,True
255,Dubai Production City (IMPZ),850000,1083,784.86,2,2,False,False,False,False,False,False,False,True
256,Dubai Marina,3050000,3201,952.83,4,5,False,True,False,False,False,False,False,False
257,Mohammed Bin Rashid City,808520,492,1643.33,1,1,False,True,True,False,False,False,False,True
258,Palm Jumeirah,1760000,1943,905.82,2,3,False,False,False,False,False,False,False,False
259,Dubai Marina,850000,592,1435.81,1,1,False,True,False,False,False,False,False,True
260,Dubai Marina,1690000,1176,1437.07,2,2,False,True,False,False,False,False,False,True
261,Jumeirah Village Circle,617000,850,725.88,1,2,False,True,True,False,False,False,False,True
262,Downtown Dubai,3850000,2024,1902.17,3,3,False,False,False,False,False,False,False,False
263,Dubai Marina,1355000,1760,769.89,2,3,False,False,True,False,False,False,False,True
264,Downtown Dubai,1375000,856,1606.31,1,2,False,False,False,False,False,False,False,False
265,Dubai Marina,1599999,2172,736.65,3,3,True,False,False,False,False,False,False,True
266,Falcon City of Wonders,863400,549,1572.68,1,2,False,True,False,False,False,False,False,True
267,Falcon City of Wonders,641700,405,1584.44,0,1,False,True,False,False,False,False,False,True
268,Palm Jumeirah,1250000,1355,922.51,1,1,False,False,False,False,False,False,False,False
269,Dubai Marina,3200000,2280,1403.51,3,4,False,False,False,False,False,False,False,False
270,Downtown Dubai,1700000,1663,1022.25,2,3,False,False,False,False,False,False,False,False
271,Dubai Marina,2050000,1500,1366.67,2,3,False,False,False,False,False,False,False,False
272,Business Bay,1441498,1417,1017.29,2,3,False,False,False,False,False,False,False,True
273,Business Bay,2299880,2370,970.41,3,4,False,False,False,False,False,False,False,True
274,Downtown Dubai,1789000,986,1814.4,1,2,False,False,False,False,False,False,False,True
275,Dubai Marina,3450000,1746,1975.95,3,3,False,True,True,False,False,False,False,True
276,Downtown Dubai,3094900,1285,2408.48,2,3,False,True,False,False,False,False,False,True
277,Palm Jumeirah,1890000,1587,1190.93,1,1,False,True,False,False,False,False,False,True
278,Dubai Marina,1500000,926,1619.87,1,2,False,True,False,False,False,False,False,False
279,Dubai Marina,1800000,1056,1704.55,2,2,True,False,False,False,False,False,False,True
280,Palm Jumeirah,5790000,3447,1679.72,3,4,True,True,False,False,False,False,False,True
281,Dubai Creek Harbour (The Lagoons),2800000,1930,1450.78,3,3,False,False,True,False,False,False,False,True
282,Palm Jumeirah,2800000,2250,1244.44,3,4,False,False,False,False,False,False,False,True
283,Palm Jumeirah,2399999,2439,984.01,3,4,False,False,False,True,False,False,True,True
284,Dubai Creek Harbour (The Lagoons),864000,690,1252.17,1,1,False,False,False,False,False,False,False,True
285,Jumeirah Beach Residence,1540000,640,2406.25,1,2,False,True,False,False,False,False,False,True
286,Jumeirah Beach Residence,1600000,639,2503.91,1,2,False,False,False,False,False,False,False,True
287,Jumeirah Beach Residence,2320000,1160,2000.0,2,3,False,True,False,False,False,False,False,True
288,Jumeirah Beach Residence,2320000,1981,1171.13,2,3,False,True,False,False,False,False,False,True
289,Jumeirah Beach Residence,2450000,1181,2074.51,2,3,False,True,False,False,False,False,False,True
290,Jumeirah Beach Residence,2450000,1181,2074.51,2,3,False,True,False,False,False,False,False,True
291,Downtown Dubai,2700000,1300,2076.92,2,3,False,True,False,False,False,False,False,False
292,Downtown Dubai,2167888,800,2709.86,1,2,False,True,False,False,False,False,False,True
293,Downtown Dubai,1700000,977,1740.02,1,2,False,True,False,False,False,False,False,True
294,Dubai Creek Harbour (The Lagoons),1667888,1170,1425.55,2,3,False,True,False,False,False,False,False,True
295,Dubai Creek Harbour (The Lagoons),1399888,820,1707.18,1,2,False,True,False,False,False,False,False,True
296,Dubai Hills Estate,1051888,727,1446.89,2,3,False,False,False,False,False,False,False,False
297,Dubai Hills Estate,1050888,723,1453.51,2,3,False,False,False,False,False,False,False,False
298,Dubai Hills Estate,1021888,742,1377.21,2,3,False,False,False,False,False,False,False,False
299,Dubai Creek Harbour (The Lagoons),1040000,643,1617.42,1,2,False,True,False,False,False,False,False,False
300,Dubai Marina,1964888,992,1980.73,1,2,False,True,False,False,False,False,False,True
301,Dubai Harbour,1370888,746,1837.65,1,2,False,True,False,False,False,False,False,True
302,Dubai Harbour,1722888,789,2183.63,1,2,False,True,False,False,False,False,False,True
303,Dubai Harbour,1949888,1139,1711.93,2,3,False,True,False,False,False,False,False,True
304,Dubai Harbour,4000000,2097,1907.49,3,4,False,True,False,False,False,False,False,True
305,Dubai Harbour,1500000,745,2013.42,1,2,False,False,False,False,False,True,False,True
306,Dubai Harbour,1150000,729,1577.5,1,2,False,True,False,False,False,False,False,True
307,Dubai Creek Harbour (The Lagoons),2500000,1501,1665.56,2,3,False,True,False,False,False,False,False,True
308,Dubai Creek Harbour (The Lagoons),1739999,1143,1522.31,2,3,False,True,False,False,False,False,False,True
309,Business Bay,5460661,1400,3900.47,2,3,False,False,False,False,False,False,False,False
310,Dubai Hills Estate,1471888,996,1477.8,2,3,False,True,False,False,False,False,False,True
311,Dubai Hills Estate,1165000,998,1167.33,2,3,False,True,False,False,False,False,False,True
312,Dubai Marina,1900000,2352,807.82,2,3,False,True,False,False,False,False,False,True
313,Dubai Creek Harbour (The Lagoons),3621888,1847,1960.96,3,4,False,True,False,False,False,False,False,True
314,Downtown Dubai,1780888,998,1784.46,2,3,False,True,False,False,False,False,False,False
315,Downtown Dubai,1780888,994,1791.64,2,3,False,False,False,False,False,False,False,False
316,Dubai Creek Harbour (The Lagoons),2042888,1393,1466.54,3,4,False,True,False,False,False,False,False,True
317,Jumeirah,1710000,1301,1314.37,2,3,False,False,False,False,False,False,False,False
318,Jumeirah,6400000,2932,2182.81,4,5,False,False,False,False,False,False,False,True
319,Jumeirah,1234000,817,1510.4,1,2,False,False,False,False,False,False,False,True
320,Jumeirah,1737000,1290,1346.51,2,3,False,False,False,False,False,False,False,False
321,Jumeirah,1459000,794,1837.53,1,2,False,False,False,False,False,False,False,True
322,Jumeirah,1868000,1216,1536.18,2,3,False,True,False,False,False,False,False,True
323,Umm Suqeim,2008000,1348,1489.61,2,3,False,True,False,False,False,False,False,True
324,Business Bay,1592892,1323,1204.0,2,3,False,False,False,False,False,False,False,False
325,Business Bay,1650000,1300,1269.23,2,3,False,True,False,False,False,False,False,True
326,Palm Jumeirah,649888,314,2069.71,0,1,False,True,False,False,False,False,False,True
327,Palm Jumeirah,876888,353,2484.1,0,1,False,True,False,False,False,False,False,True
328,Dubai Marina,1600000,975,1641.03,1,2,False,False,False,False,False,False,False,True
329,Dubai Harbour,1750000,1109,1578.0,2,3,False,True,False,False,False,False,False,False
330,Downtown Dubai,1950000,1120,1741.07,2,2,False,True,False,False,False,False,False,True
331,Downtown Dubai,1550000,1216,1274.67,2,3,False,True,False,False,False,False,False,True
332,Dubai Silicon Oasis,850000,1650,515.15,2,3,False,False,True,False,False,True,False,True
333,Culture Village,1500000,1357,1105.38,2,3,True,True,False,False,False,False,False,True
334,Jumeirah Village Circle,657903,851,773.09,1,2,False,True,True,False,False,False,False,True
335,Jumeirah,1367000,818,1671.15,1,1,False,False,False,False,False,False,False,False
336,Downtown Dubai,18614888,5383,3458.09,4,6,False,True,False,False,True,True,True,False
337,Mina Rashid,1500888,2070,725.07,2,2,False,False,True,False,False,False,False,True
338,Dubai Sports City,520000,1071,485.53,2,3,False,False,False,False,False,False,False,True
339,Dubai Marina,1900000,2314,821.09,2,2,False,False,False,False,False,False,False,True
340,Palm Jumeirah,1750000,1750,1000.0,2,3,False,True,False,False,False,False,False,True
341,Al Barari,4500000,3845,1170.35,3,4,False,False,False,False,False,False,False,False
342,Dubai Marina,3000000,3180,943.4,4,4,True,True,True,False,False,False,True,True
343,Downtown Dubai,12930000,3049,4240.73,4,6,False,False,False,False,False,False,False,False
344,Dubai Hills Estate,1750000,1606,1089.66,3,3,True,True,False,False,False,False,False,True
345,The Views,1375000,1380,996.38,2,3,False,False,True,False,False,False,False,True
346,Bluewaters,3100000,1488,2083.33,2,3,False,True,False,False,False,False,False,True
347,Downtown Dubai,1690000,1150,1469.57,2,2,False,True,True,False,False,True,True,True
348,Business Bay,799900,989,808.8,1,1,False,True,True,False,False,True,False,True
349,Town Square,580000,631,919.18,1,1,False,False,True,True,False,False,False,True
350,Old Town,1700000,1335,1273.41,2,3,False,False,False,False,False,False,False,False
351,Palm Jumeirah,1699000,1338,1269.81,1,2,False,False,False,False,False,False,True,True
352,Downtown Dubai,1400000,1299,1077.75,2,3,False,False,False,False,False,False,False,False
353,Dubai Marina,2450000,2204,1111.62,3,4,False,False,False,False,False,False,False,False
354,City Walk,2298999,1862,1234.69,2,3,False,False,False,False,False,False,False,True
355,Business Bay,605000,513,1179.34,0,1,False,True,False,False,False,False,False,True
356,Dubai Silicon Oasis,599000,885,676.84,1,2,False,False,True,False,False,False,False,True
357,Downtown Dubai,4681888,1720,2722.03,2,3,False,False,False,False,False,False,False,False
358,Jumeirah Beach Residence,2500000,1817,1375.89,2,3,False,True,False,False,False,False,False,True
359,Dubai Marina,1800000,1281,1405.15,2,3,False,True,False,False,False,False,False,True
360,Dubai Marina,1890000,1255,1505.98,2,3,False,False,False,False,False,False,False,True
361,Palm Jumeirah,1750000,1812,965.78,2,3,False,False,False,False,False,False,False,False
362,Downtown Dubai,1100000,730,1506.85,1,1,False,False,False,False,False,False,False,False
363,Dubai Hills Estate,900000,989,910.01,1,1,False,False,False,False,False,False,False,False
364,Green Community,1295000,2554,507.05,3,2,False,False,False,False,False,False,False,False
365,Dubai Marina,1640000,1302,1259.6,2,3,False,True,True,False,False,False,False,True
366,Jumeirah,1200000,733,1637.11,1,2,False,False,False,False,False,False,False,True
367,Dubai Silicon Oasis,350000,535,654.21,0,1,False,False,True,False,False,False,False,True
368,Dubai Marina,1150000,1210,950.41,2,4,True,False,True,False,False,False,False,True
369,Jumeirah Village Circle,589000,844,697.87,1,2,False,False,False,False,False,False,False,True
370,Dubai Marina,1670000,1366,1222.55,2,3,True,False,False,False,False,False,False,True
371,Motor City,1550000,2931,528.83,3,3,False,False,False,False,False,False,False,False
372,Downtown Dubai,1650000,872,1892.2,1,2,False,False,False,False,False,False,False,False
373,Palm Jumeirah,2650000,1493,1774.95,2,2,False,False,False,False,False,False,False,True
374,Palm Jumeirah,1930000,2046,943.3,2,3,False,False,False,False,False,False,False,True
375,Jumeirah Village Circle,368000,385,955.84,0,1,False,False,True,False,False,False,False,True
376,Downtown Dubai,5500000,2285,2407.0,4,4,False,False,False,False,False,False,False,True
377,Downtown Dubai,3900000,1978,1971.69,3,4,False,False,False,False,False,False,False,False
378,Dubai Marina,1500000,1727,868.56,2,3,False,False,True,False,False,True,False,True
379,Downtown Dubai,1650000,1104,1494.57,2,3,True,True,True,False,False,True,False,True
380,Jumeirah Village Circle,1150000,1607,715.62,3,4,False,False,False,False,False,False,False,False
381,Jumeirah,1890000,1023,1847.51,2,3,False,False,False,False,False,False,True,True
382,Downtown Dubai,15800000,5253,3007.81,4,5,False,False,False,True,True,False,True,False
383,Downtown Dubai,3000000,1317,2277.9,2,3,False,True,False,False,False,False,False,True
384,Downtown Dubai,4000000,1908,2096.44,3,3,False,True,True,False,False,False,False,True
385,Dubai Marina,1625000,875,1857.14,1,2,False,False,False,False,False,False,False,False
386,Downtown Dubai,2243000,1293,1734.73,2,2,False,False,True,False,False,False,False,True
387,Jumeirah Lake Towers,800000,1028,778.21,1,2,False,False,True,False,False,False,False,True
388,Downtown Dubai,2650000,1616,1639.85,3,4,False,True,False,False,False,False,False,True
389,Downtown Dubai,1239000,747,1658.63,1,1,False,True,True,False,False,False,False,True
390,Downtown Dubai,4100000,1774,2311.16,2,3,False,False,False,False,False,False,False,False
391,Dubai Hills Estate,2600888,1583,1643.01,3,3,False,True,False,False,False,False,False,True
392,Jumeirah,1200000,733,1637.11,1,1,False,False,False,False,False,False,False,False
393,Palm Jumeirah,3150000,1645,1914.89,2,2,True,True,False,False,False,False,False,True
394,Jumeirah Beach Residence,1100000,1101,999.09,1,2,False,True,True,False,False,False,False,True
395,Jumeirah Beach Residence,2499000,1463,1708.13,2,3,False,True,True,False,False,False,False,True
396,Dubai Hills Estate,1061888,730,1454.64,2,2,False,False,True,False,False,False,False,True
397,Town Square,930888,930,1000.95,2,2,False,False,True,False,False,False,False,True
398,Town Square,453888,339,1338.9,0,1,False,False,True,False,False,False,False,True
399,Dubai Hills Estate,2040888,1607,1270.0,3,3,False,False,True,False,False,False,False,True
400,Dubai Marina,1100000,829,1326.9,2,2,False,True,False,False,False,False,False,True
401,Mohammed Bin Rashid City,1261142,742,1699.65,1,2,False,True,False,False,False,False,False,True
402,Dubai Marina,1170000,980,1193.88,1,2,False,False,True,False,False,False,False,False
403,Palm Jumeirah,2499000,1367,1828.09,2,5,False,False,False,False,False,False,False,False
404,Al Kifaf,1642777,998,1646.07,1,2,False,False,True,False,False,False,False,True
