,neighborhood,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,maid_room,concierge,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,shared_pool
1804,Downtown Dubai,2000000,1133,1765.23,1,2,False,False,False,False,False,False,True,True
1805,Dubai Marina,3300000,3456,954.86,3,5,False,False,False,False,False,False,False,False
1806,The Hills,1650000,1558,1059.05,2,2,False,True,True,False,False,False,False,True
1807,Jumeirah Village Circle,661504,675,980.01,1,2,False,True,False,False,False,False,False,True
1808,Jumeirah Village Circle,958205,1311,730.9,2,3,True,True,False,False,False,False,False,True
1809,Jumeirah Lake Towers,840000,1152,729.17,2,2,False,False,False,False,False,False,False,False
1810,Greens,1600000,1797,890.37,3,3,False,False,False,False,False,False,False,True
1811,Dubai Marina,1650000,1303,1266.31,2,3,False,True,True,False,False,False,False,True
1812,Jumeirah Village Circle,619500,851,727.97,1,2,True,True,False,False,False,False,False,True
1813,Jumeirah Village Circle,750204,1045,717.9,2,3,True,True,False,False,False,False,False,True
1814,DIFC,2400000,1782,1346.8,2,3,False,False,False,False,False,False,False,False
1815,Jumeirah Village Circle,900000,967,930.71,1,2,False,False,False,False,False,False,False,True
1816,Jumeirah Village Circle,365000,419,871.12,0,1,False,False,True,False,False,False,False,True
1817,Jumeirah Village Circle,650503,751,866.18,1,2,False,True,True,False,False,False,False,True
1818,Jumeirah Village Circle,999505,1198,834.31,2,3,True,True,True,False,False,False,False,True
1819,Jumeirah,2250000,1341,1677.85,2,3,False,True,False,False,False,False,False,True
1820,DIFC,1550000,960,1614.58,1,2,False,False,True,False,False,False,False,True
1821,Jumeirah Village Circle,610502,812,751.85,1,2,True,True,True,False,False,False,False,True
1822,Dubai Marina,580000,484,1198.35,1,1,False,False,True,False,False,False,False,True
1823,Jumeirah Beach Residence,3400000,2918,1165.18,4,4,False,False,False,False,False,False,False,False
1824,Umm Suqeim,2192000,1351,1622.5,2,2,False,True,False,False,False,False,True,True
1825,Umm Suqeim,2448000,1702,1438.31,2,2,True,True,False,False,False,False,True,True
1826,Umm Suqeim,2112000,1359,1554.08,2,2,True,True,False,False,False,False,True,True
1827,Jumeirah Village Circle,699505,840,832.74,1,2,False,True,True,False,False,False,False,True
1828,Umm Suqeim,2121000,1378,1539.19,2,2,True,True,False,False,False,False,True,True
1829,Jumeirah Village Circle,370000,372,994.62,0,1,False,True,True,False,False,False,False,True
1830,Business Bay,1525000,1300,1173.08,2,3,False,False,False,False,False,False,False,True
1831,Dubai Marina,950000,841,1129.61,1,1,False,True,True,False,False,False,False,True
1832,Dubai Harbour,2245888,1143,1964.91,2,2,False,False,False,False,False,False,False,True
1833,Dubai Marina,1550000,1323,1171.58,2,2,False,True,True,False,False,False,False,True
1834,The Views,1212000,1302,930.88,2,3,False,False,False,False,False,False,False,True
1835,Dubai Marina,1550000,1233,1257.1,2,2,False,True,False,False,False,False,False,False
1836,Dubai Marina,1100000,884,1244.34,1,2,False,True,False,False,False,False,False,True
1837,Al Barari,2800000,2745,1020.04,2,3,False,False,False,False,False,False,False,True
1838,Jumeirah Lake Towers,400888,415,966.0,0,1,False,True,False,False,False,False,False,True
1839,Jumeirah Lake Towers,400888,415,966.0,0,1,False,True,False,False,False,False,False,True
1840,Umm Suqeim,2100000,1300,1615.38,2,2,False,True,False,False,False,False,False,True
1841,Jumeirah Beach Residence,1500000,1058,1417.77,1,2,False,True,True,False,False,False,False,True
1842,Dubai Marina,1250000,1377,907.77,2,2,False,False,False,False,False,False,False,False
1843,The Views,1750000,1642,1065.77,2,3,False,True,False,False,False,False,False,True
1844,Dubai Creek Harbour (The Lagoons),1100000,899,1223.58,1,1,False,False,False,False,False,False,False,True
1845,Jumeirah Village Circle,443850,422,1051.78,0,1,False,False,False,False,False,False,False,True
1846,Downtown Dubai,3200000,1709,1872.44,3,4,False,True,False,False,False,False,False,True
1847,Business Bay,2950000,3039,970.71,3,4,True,False,True,False,False,False,False,True
1848,Dubai Residence Complex,270000,460,586.96,0,1,False,False,False,False,False,False,False,True
1849,Jumeirah Lake Towers,499000,672,742.56,1,1,False,False,True,False,False,False,False,True
1850,Umm Suqeim,2112000,1359,1554.08,2,3,False,True,True,False,False,False,False,True
1851,Downtown Dubai,4000000,2023,1977.26,3,3,True,True,False,False,False,False,False,True
1852,Dubai Marina,700000,591,1184.43,1,1,False,True,False,False,False,False,False,False
1853,Business Bay,920000,778,1182.52,1,2,False,False,True,False,False,False,False,True
1854,Palm Jumeirah,1650000,1890,873.02,1,2,False,False,False,False,False,False,False,True
1855,Greens,1599990,2059,777.07,3,3,False,True,False,False,False,False,False,True
1856,Dubai Marina,1500000,2412,621.89,3,4,True,False,True,False,False,False,False,True
1857,Jumeirah Lake Towers,400888,403,994.76,0,1,False,True,False,False,False,True,False,True
1858,Jumeirah Lake Towers,760888,904,841.69,1,2,False,True,False,False,False,True,True,True
1859,Jumeirah Lake Towers,1005888,1073,937.45,2,2,False,True,False,False,False,True,False,False
1860,Jumeirah Lake Towers,1550888,1517,1022.34,3,3,False,True,False,False,False,False,False,True
1861,Dubai Land,590000,1094,539.31,2,2,False,False,False,False,False,False,False,True
1862,Dubai Marina,1750000,1324,1321.75,2,2,False,False,False,False,False,False,False,False
1863,Dubai Marina,2600000,2205,1179.14,3,4,False,False,False,False,False,False,False,False
1864,Jumeirah Beach Residence,2400000,1842,1302.93,2,2,False,False,False,False,False,False,False,False
1865,DIFC,795000,769,1033.81,1,2,False,False,False,False,False,True,False,True
1866,Dubai Marina,1975000,2979,662.97,3,3,False,False,False,False,False,False,False,False
1867,Al Furjan,838000,928,903.02,2,3,False,False,False,False,False,False,False,True
1868,DIFC,2300000,1836,1252.72,2,3,False,False,False,False,False,False,False,False
1869,Palm Jumeirah,34340000,8722,3937.17,4,6,True,True,True,True,False,True,True,True
1870,Mohammed Bin Rashid City,1781920,1184,1505.0,2,3,False,False,False,False,False,False,False,False
1871,Dubai Harbour,1352888,745,1815.96,1,1,False,False,True,False,False,False,True,True
1872,Mohammed Bin Rashid City,2800000,2012,1391.65,3,3,True,False,True,False,False,False,False,False
1873,Palm Jumeirah,15950000,5049,3159.04,4,6,True,True,True,False,False,False,True,False
1874,Town Square,488888,698,700.41,1,2,False,False,False,False,False,False,False,True
1875,Dubai Harbour,1459888,758,1925.97,1,1,False,False,False,False,False,False,False,True
1876,Dubai Marina,1350000,1579,854.97,2,4,False,False,False,False,False,False,False,False
1877,Jumeirah Beach Residence,1499000,1884,795.65,3,3,False,False,False,False,False,False,False,False
1878,Downtown Dubai,2130888,791,2693.92,1,2,False,True,False,False,False,False,False,True
1879,Dubai Creek Harbour (The Lagoons),890000,760,1171.05,1,1,False,True,True,False,False,False,False,True
1880,Jumeirah Lake Towers,2400000,2798,857.76,3,5,True,True,True,False,False,False,False,True
1881,The Views,1850000,1400,1321.43,2,2,False,True,True,False,False,False,False,True
1882,Dubai Marina,2090000,1061,1969.84,2,2,False,False,False,False,False,False,False,True
1883,Jumeirah Beach Residence,1970000,882,2233.56,1,2,False,True,False,False,False,False,False,True
1884,Jumeirah Beach Residence,3300000,1180,2796.61,2,3,False,True,False,False,False,False,False,True
1885,Palm Jumeirah,31440000,6542,4805.87,4,6,True,True,True,False,False,True,True,True
1886,Dubai Harbour,4856888,2088,2326.1,3,3,True,False,True,False,False,False,True,True
1887,City Walk,1396000,1672,834.93,1,2,False,False,False,False,False,False,False,False
1888,Dubai Marina,1300000,1843,705.37,3,3,True,False,False,False,False,False,False,True
1889,Palm Jumeirah,1400000,1173,1193.52,1,1,False,False,False,False,False,False,False,False
1890,Jumeirah Beach Residence,3800000,1807,2102.93,3,3,False,True,False,False,False,False,False,True
1891,Culture Village,7000000,4068,1720.75,4,6,False,False,False,False,False,False,False,False
1892,Dubai South (Dubai World Central),1175000,3247,361.87,3,2,False,False,False,True,False,False,False,True
1893,Jumeirah Beach Residence,2000000,857,2333.72,1,2,False,False,True,False,False,False,False,True
1894,Downtown Dubai,980888,1088,901.55,1,1,False,True,False,False,False,False,False,True
1895,Dubai Marina,1350000,1578,855.51,2,4,False,False,False,False,False,False,False,False
1896,Downtown Dubai,18040888,5253,3434.4,4,4,True,False,False,False,False,False,False,True
1897,Al Quoz,360000,600,600.0,0,1,False,False,True,False,False,False,False,True
1898,Palm Jumeirah,2700000,1076,2509.29,1,2,False,False,False,False,False,False,False,True
1899,Dubai Sports City,550000,847,649.35,1,2,False,True,True,False,False,False,True,True
1900,Mohammed Bin Rashid City,1500000,1087,1379.94,2,2,False,True,True,False,False,False,False,True
1901,Mohammed Bin Rashid City,1230000,760,1618.42,1,2,False,True,False,False,False,False,False,True
1902,Dubai Creek Harbour (The Lagoons),2900000,1930,1502.59,3,5,True,False,True,False,False,False,False,True
1903,Jumeirah Village Circle,675000,740,912.16,1,2,False,False,False,True,False,False,False,True
1904,Jumeirah Lake Towers,760887,800,951.11,1,2,False,True,False,False,False,False,False,True
